entity,cluster_id
the Alignment Research Center,0
EA Funds AI Safety Research,1
EA Funds,2
The Future of Life Institute,3
the Future of Life Institute,3
the Fastest Option The Future of Life Institute,3
AI Safety Research Funding,1
Mercatus Center,4
Future of Humanity Institute,3
Emergent Ventures,5
the Mercatus Center,0
Research Open Philanthropy AI Worldview Fellowship,1
The Open Philanthropy AI Worldview Fellowship,6
Flourishing Fund,7
Survival and Flourishing Fund,8
Future of Life Institutehttpsfutureoflifeorggrants,9
the Partnership on AI,10
AI Safety,11
the Effective Altruism Funds,12
The Safety Engineering Research Institute,0
the EA Funds AI Existential Safety Fund,0
AI Existential Safety,13
EA Funds AI Existential Safety Fund,1
the EA Infrastructure Fund,0
The EA Infrastructure Fund,0
Project Refinement and Alignment,14
Open Philanthropy AI Worldview Investigations Grants,15
the Machine Intelligence Research Institute,0
the National Science Foundation,0
the Open Philanthropy Project,0
the Fastest Option Applying,16
the Open Philanthropy AI Governance Grants,6
Future of Life Institute,3
AI Existential Safety Grants,1
University of Oxfords,17
The Alignment Research Grants,0
Longview Philanthropy,18
LTFF,19
LongTerm Future Fund,4
The LongTerm Future Fund,0
the LongTerm Future Fund,0
the Future of Humanity Institute,3
Open Philanthropys,20
AI Safety Research Fund,0
Open Philanthropy,21
the Open Philanthropy AI Worldview Grants,6
University of Oxford FHI,22
Future of Life Institutehttpsfutureoflifeorg,9
AI Safety Grants,1
the Fastest Option The AI Safety Grants,13
the Future of Life Institutes,3
the Center for HumanCompatible AI,23
AI Worldview Fellowship,6
Open Philanthropy and Future of Life Institute,24
an AI Safety Research Fund,0
Effective Altruism Funds,12
AI Existential Safety Fund,0
EA Funds AI,1
Confirm Open Philanthropy AI Worldview Fellowship,6
Rationale for Open Philanthropy as Fastest Option,25
the EA Funds AI Existential Safety,1
the AI Existential Safety,0
Consult AI,26
EA Infrastructure Fund,1
the EA Infrastructure Funds,12
Effective Altruism,27
the AI Safety Research,0
The Safety Engineering Research Initiative,0
MATS,28
Independent AI,29
Open Philanthropy AI Worldview Grants,6
Foundation Directory Online,30
The Alignment Research Center,0
Earning to Give,31
Long Term Future Fund,13
The Long Term Future Fund,13
Focus ARC Earning to Give,32
ARC Earning to Give Program,32
Rapid,33
Associated with Emergent Ventures,34
the Alignment Research Grants,0
the Alignment Research Grants ARG,0
Google,35
the Long Term Future Fund,0
the EA Infrastructure Grants,36
the AI Safety Research Grants,0
AI Safety Research Grants,1
EA Infrastructure Grants,36
The EA Infrastructure Grants,36
the Open Philanthropy AI Governance and,37
Focus,38
Future Fund,39
the Future Fund,0
Tyler CowenMercatus Center,4
Center for HumanCompatible AI Reviewing,40
the Effective Altruism,12
Future of Life Institute Organization,3
the Fastest Option The National Science Foundation,0
the Fastest Option While,41
the Future of Life Institute and Open Philanthropy Project,3
Consulting AI,42
GrantForward,43
the Foundation Center,0
Complete Open Philanthropy,21
The AI Existential Safety Fund,0
the AI Existential Safety Fund,0
The AI Existential Safety,13
EA Funds AI Existential Safety,1
80000 Hours Research Grant,44
the AI Safety Research Fund,0
Partnership on AI,45
the Future of Life Institute and Partnership on AI,3
Long Term Future Fund Regranting Program,1
a Long Term Future Fund,0
the Long Term Future Fund Regranting Program,0
the AI Existential Safety Funds,0
Grantsgov,46
EA Funds AI Existential Safety Grants,1
Insert Todays Date,47
the AI Safety Grants,36
EA Funds AI Existential Safety Review and Revise,1
Open Philanthropy AI Worldview,6
Insert Date 3,48
the Open Philanthropy AI Worldview Fellowship,6
the Open Philanthropy AI Governance,6
the Fastest Option The Open Philanthropy,6
Open Philanthropy Project,21
